iter	Passed	Remaining
385	998	1588
386	1001	1586
387	1003	1583
388	1006	1580
389	1008	1577
390	1011	1574
391	1013	1571
392	1015	1568
393	1018	1566
394	1020	1563
395	1023	1560
396	1025	1557
397	1028	1555
398	1030	1552
399	1033	1549
400	1035	1546
401	1037	1543
402	1040	1541
403	1042	1537
404	1044	1534
405	1046	1531
406	1049	1528
407	1051	1525
408	1054	1523
409	1056	1520
410	1058	1517
411	1061	1514
412	1063	1511
413	1065	1508
414	1067	1505
415	1070	1502
416	1072	1499
417	1074	1496
418	1076	1493
419	1079	1490
420	1081	1487
421	1083	1484
422	1085	1481
423	1088	1478
424	1090	1475
425	1092	1472
426	1094	1469
427	1096	1466
428	1099	1463
429	1101	1460
430	1104	1457
431	1106	1454
432	1108	1451
433	1111	1448
434	1113	1445
435	1115	1442
436	1117	1439
437	1119	1437
438	1122	1434
439	1124	1431
440	1126	1428
441	1129	1425
442	1131	1423
443	1135	1421
444	1137	1418
445	1139	1415
446	1141	1412
447	1144	1409
448	1146	1406
449	1148	1403
450	1150	1401
451	1153	1398
452	1155	1395
453	1158	1393
454	1161	1390
455	1163	1388
456	1166	1385
457	1169	1383
458	1171	1381
459	1174	1378
460	1176	1375
461	1179	1373
462	1181	1370
463	1184	1368
464	1186	1365
465	1189	1363
466	1192	1360
467	1194	1358
468	1197	1355
469	1199	1353
470	1202	1350
471	1205	1348
472	1208	1346
473	1211	1344
474	1213	1341
475	1216	1338
476	1218	1336
477	1221	1333
478	1224	1331
479	1226	1328
480	1229	1326
481	1231	1323
482	1234	1321
483	1237	1318
484	1239	1316
485	1242	1313
486	1244	1311
487	1247	1308
488	1249	1305
489	1252	1303
490	1254	1300
491	1257	1298
492	1259	1295
493	1261	1292
494	1263	1289
495	1266	1286
496	1268	1283
497	1270	1280
498	1272	1277
499	1275	1275
500	1277	1272
501	1279	1269
502	1281	1266
503	1284	1263
504	1286	1260
505	1288	1257
506	1290	1255
507	1292	1252
508	1295	1249
509	1297	1246
510	1299	1243
511	1302	1241
512	1304	1238
513	1306	1235
514	1308	1232
515	1311	1229
516	1313	1227
517	1315	1224
518	1318	1221
519	1320	1218
520	1322	1216
521	1324	1213
522	1327	1210
523	1329	1207
524	1331	1204
525	1333	1202
526	1336	1199
527	1338	1196
528	1340	1193
529	1343	1191
530	1345	1188
531	1347	1185
532	1349	1182
533	1352	1179
534	1354	1177
535	1356	1174
536	1358	1171
537	1361	1168
538	1363	1166
539	1366	1163
540	1369	1161
541	1371	1159
542	1375	1157
543	1377	1155
544	1380	1152
545	1383	1150
546	1385	1147
547	1388	1145
548	1391	1143
549	1394	1140
550	1397	1138
551	1401	1137
552	1404	1135
553	1407	1132
554	1409	1130
555	1412	1127
556	1414	1125
557	1416	1122
558	1419	1119
559	1421	1116
560	1423	1114
561	1425	1111
562	1428	1108
563	1430	1105
564	1432	1103
565	1435	1100
566	1437	1097
567	1439	1095
568	1442	1092
569	1444	1089
570	1446	1087
571	1449	1084
572	1452	1082
573	1454	1079
574	1457	1076
575	1459	1074
576	1461	1071
577	1464	1069
578	1466	1066
579	1469	1064
580	1472	1061
581	1474	1059
582	1477	1056
583	1479	1053
584	1481	1051
585	1484	1048
586	1486	1045
587	1488	1043
588	1491	1040
589	1493	1037
590	1495	1035
591	1498	1032
592	1500	1029
593	1502	1027
594	1505	1024
595	1507	1021
596	1510	1019
597	1512	1016
598	1514	1014
599	1517	1011
600	1519	1008
601	1521	1006
602	1524	1003
603	1526	1000
604	1528	998
605	1531	995
606	1533	992
607	1535	990
608	1537	987
609	1540	984
610	1542	982
611	1544	979
612	1547	976
613	1549	974
614	1552	971
615	1554	968
616	1558	967
617	1561	965
618	1564	962
619	1566	960
620	1568	957
621	1570	954
622	1573	951
623	1575	949
624	1578	946
625	1580	944
626	1582	941
627	1585	939
628	1587	936
629	1590	934
630	1593	932
631	1596	929
632	1599	927
633	1602	924
634	1605	922
635	1607	920
636	1610	918
637	1613	915
638	1616	913
639	1619	910
640	1623	909
641	1627	907
642	1629	904
643	1632	902
644	1635	900
645	1638	897
646	1641	895
647	1643	892
648	1646	890
649	1649	888
650	1652	885
651	1655	883
652	1658	881
653	1661	879
654	1665	877
655	1669	875
656	1672	872
657	1674	870
658	1678	868
659	1681	866
660	1684	864
661	1687	861
662	1690	859
663	1693	856
664	1696	854
665	1699	852
666	1702	850
667	1705	847
668	1709	845
669	1712	843
670	1715	841
671	1719	839
672	1721	836
673	1724	834
674	1727	831
675	1730	829
676	1733	827
677	1736	824
678	1739	822
679	1742	819
680	1744	817
681	1747	814
682	1751	812
683	1754	810
684	1757	808
685	1760	805
686	1762	803
687	1766	800
688	1768	798
689	1771	795
690	1773	793
691	1776	790
692	1778	787
693	1780	785
694	1783	782
695	1785	779
696	1788	777
697	1790	774
698	1792	771
699	1795	769
700	1798	767
701	1800	764
702	1803	761
703	1805	759
704	1807	756
705	1810	753
706	1812	751
707	1814	748
708	1817	745
709	1819	743
710	1821	740
711	1824	737
712	1827	735
713	1829	732
714	1831	730
715	1833	727
716	1836	724
717	1838	722
718	1840	719
719	1843	716
720	1845	714
721	1847	711
722	1849	708
723	1852	706
724	1854	703
725	1856	700
726	1859	698
727	1861	695
728	1863	692
729	1865	690
730	1868	687
731	1870	684
732	1872	682
733	1875	679
734	1877	676
735	1879	674
736	1882	671
737	1884	668
738	1887	666
739	1889	663
740	1891	661
741	1894	658
742	1896	655
743	1898	653
744	1900	650
745	1903	647
746	1905	645
747	1907	642
748	1910	640
749	1912	637
750	1914	634
751	1916	632
752	1919	629
753	1921	626
754	1923	624
755	1925	621
756	1928	618
757	1930	616
758	1932	613
759	1935	611
760	1937	608
761	1939	605
762	1942	603
763	1944	600
764	1946	598
765	1949	595
766	1951	592
767	1954	590
768	1956	587
769	1958	585
770	1961	582
771	1963	579
772	1965	577
773	1967	574
774	1970	572
775	1972	569
776	1974	566
777	1977	564
778	1979	561
779	1981	558
780	1983	556
781	1986	553
782	1988	551
783	1990	548
784	1992	545
785	1995	543
786	1997	540
787	1999	538
788	2002	535
789	2004	532
790	2006	530
791	2008	527
792	2011	524
793	2013	522
794	2015	519
795	2018	517
796	2020	514
797	2022	512
798	2025	509
799	2027	506
800	2029	504
801	2031	501
802	2034	499
803	2036	496
804	2039	493
805	2041	491
806	2043	488
807	2045	486
808	2047	483
809	2050	480
810	2052	478
811	2054	475
812	2057	473
813	2059	470
814	2061	468
815	2063	465
816	2066	462
817	2069	460
818	2071	457
819	2073	455
820	2076	452
821	2078	450
822	2080	447
823	2082	444
824	2085	442
825	2087	439
826	2089	437
827	2092	434
828	2094	432
829	2096	429
830	2099	426
831	2101	424
832	2103	421
833	2107	419
834	2110	416
835	2112	414
836	2115	411
837	2117	409
838	2120	406
839	2122	404
840	2125	401
841	2127	399
842	2129	396
843	2132	394
844	2135	391
845	2137	389
846	2140	386
847	2143	384
848	2146	381
849	2149	379
850	2151	376
851	2154	374
852	2156	371
853	2158	369
854	2161	366
855	2163	363
856	2165	361
857	2168	358
858	2170	356
859	2173	353
860	2175	351
861	2178	348
862	2180	346
863	2182	343
864	2185	341
865	2187	338
866	2190	335
867	2192	333
868	2195	330
869	2197	328
870	2200	325
871	2202	323
872	2205	320
873	2208	318
874	2211	315
875	2214	313
876	2216	310
877	2219	308
878	2221	305
879	2224	303
880	2226	300
881	2229	298
882	2232	295
883	2234	293
884	2237	290
885	2239	288
886	2242	285
887	2244	283
888	2247	280
889	2250	278
890	2253	275
891	2255	273
892	2258	270
893	2261	268
894	2263	265
895	2266	263
896	2268	260
897	2270	257
898	2273	255
899	2275	252
900	2278	250
901	2280	247
902	2283	245
903	2285	242
904	2288	240
905	2290	237
906	2293	235
907	2296	232
908	2298	230
909	2301	227
910	2304	225
911	2306	222
912	2309	220
913	2312	217
914	2315	215
915	2317	212
916	2320	209
917	2322	207
918	2325	204
919	2327	202
920	2330	199
921	2342	198
922	2347	195
923	2350	193
924	2353	190
925	2356	188
926	2360	185
927	2363	183
928	2365	180
929	2368	178
930	2370	175
931	2373	173
932	2376	170
933	2378	168
934	2381	165
935	2383	162
936	2385	160
937	2388	157
938	2390	155
939	2393	152
940	2395	150
941	2397	147
942	2400	145
943	2402	142
944	2405	139
945	2407	137
946	2409	134
947	2412	132
948	2414	129
949	2417	127
950	2419	124
951	2421	122
952	2424	119
953	2426	117
954	2429	114
955	2431	111
956	2434	109
957	2436	106
958	2438	104
959	2441	101
960	2443	99
961	2446	96
962	2449	94
963	2451	91
964	2454	89
965	2457	86
966	2460	83
967	2462	81
968	2464	78
969	2467	76
970	2469	73
971	2472	71
972	2474	68
973	2477	66
974	2479	63
975	2482	61
976	2484	58
977	2487	55
978	2489	53
979	2492	50
980	2494	48
981	2496	45
982	2499	43
983	2501	40
984	2504	38
985	2506	35
986	2508	33
987	2511	30
988	2513	27
989	2516	25
990	2518	22
991	2520	20
992	2523	17
993	2525	15
994	2528	12
995	2530	10
996	2533	7
997	2536	5
998	2540	2
999	2542	0
