iter	Logloss
0	0.6841509379
1	0.6755601506
2	0.667271675
3	0.6593230665
4	0.6515285119
5	0.6440984204
6	0.6369493977
7	0.6300356431
8	0.6234027045
9	0.6169287701
10	0.6107861599
11	0.6048230613
12	0.5989570969
13	0.5932615377
14	0.5877873303
15	0.5825772037
16	0.57736404
17	0.57256012
18	0.5679146642
19	0.5634654673
20	0.5589019894
21	0.5547260401
22	0.5506083975
23	0.5467379944
24	0.542907423
25	0.5390432608
26	0.5354669314
27	0.5320049623
28	0.5287292787
29	0.5254442459
30	0.5222925804
31	0.5193087441
32	0.5165081198
33	0.513729654
34	0.510986955
35	0.5082019272
36	0.5057007954
37	0.5033317369
38	0.5009127783
39	0.4984559455
40	0.4960448489
41	0.4938950542
42	0.4917714651
43	0.4897756335
44	0.4877127858
45	0.4856630682
46	0.483675543
47	0.481955885
48	0.4800935473
49	0.478534793
50	0.4768589891
51	0.4753814217
52	0.4738690656
53	0.4722431611
54	0.4708169835
55	0.4692587608
56	0.4680228303
57	0.4668065777
58	0.465556288
59	0.4643010861
60	0.4630229989
61	0.4615889227
62	0.4603746286
63	0.4592091928
64	0.4579408954
65	0.4566933134
66	0.4557099907
67	0.4545902544
68	0.453509477
69	0.4526850686
70	0.4515722999
71	0.4507639544
72	0.4498826684
73	0.4491222096
74	0.4483373791
75	0.4476383687
76	0.4467716451
77	0.445948977
78	0.4451128528
79	0.4445114001
80	0.4439449056
81	0.4432976303
82	0.442506028
83	0.4418767043
84	0.441128135
85	0.4405477108
86	0.4399587837
87	0.4392854995
88	0.4385878701
89	0.4379287908
90	0.437339662
91	0.4367649122
92	0.4361730375
93	0.435706225
94	0.4350314933
95	0.4345631182
96	0.4338683534
97	0.433477817
98	0.4328492353
99	0.4322729652
100	0.4317499299
101	0.4312307627
102	0.4305677419
103	0.4302335955
104	0.429620602
105	0.4291062868
106	0.4286002489
107	0.4281838681
108	0.4276413463
109	0.4271410194
110	0.4265932812
111	0.4262141103
112	0.4257472487
113	0.4251868602
114	0.424878211
115	0.4245656303
116	0.4242257912
117	0.4237812703
118	0.4234259838
119	0.4230855979
120	0.4226251965
121	0.422194066
122	0.4218043583
123	0.4212502573
124	0.4208585402
125	0.420623373
126	0.420265446
127	0.4199941122
128	0.4197313676
129	0.4194174818
130	0.418893812
131	0.4186289162
132	0.4183723779
133	0.4179914482
134	0.4176509013
135	0.4173581894
136	0.4170023898
137	0.4167132914
138	0.4164426593
139	0.4160804142
140	0.4156728735
141	0.4154087087
142	0.4150722691
143	0.4148362203
144	0.4144184081
145	0.4140034541
146	0.4136722013
147	0.4134295608
148	0.4132074907
149	0.4128013071
150	0.412331522
151	0.4120855525
152	0.4117547611
153	0.4114950057
154	0.4112271401
155	0.4108821734
156	0.4105483161
157	0.410299725
158	0.4100310916
159	0.4097590586
160	0.4094890157
161	0.4089867575
162	0.4087238776
163	0.4084120292
164	0.4082204349
165	0.4080499067
166	0.4077857727
167	0.4074946219
168	0.4072927552
169	0.4070262818
170	0.406705001
171	0.4064594921
172	0.4061944122
173	0.4060577162
174	0.4057236229
175	0.4054974356
176	0.4053410581
177	0.4050230422
178	0.4048078867
179	0.4045410478
180	0.4042782571
181	0.4041086942
182	0.4037430465
183	0.4034453935
184	0.4030650028
185	0.4028106663
186	0.4025889127
187	0.4023535727
188	0.4021723963
189	0.4020112444
190	0.4017618284
191	0.4014855678
192	0.4013136298
193	0.4011721596
194	0.4010191227
195	0.400766501
196	0.4004984825
197	0.4002973375
198	0.4000697027
199	0.3998505081
200	0.3996279082
201	0.3995187741
202	0.3993479183
203	0.3991544316
204	0.3989110338
205	0.3987314692
206	0.3984802422
207	0.398298306
208	0.3981228146
209	0.3979353685
210	0.3977760467
211	0.3976037197
212	0.3975075319
213	0.3973873905
214	0.3971085252
215	0.3969553542
